Time,PV(W),Grid(W),Load(W)
2025-02-16 00:00:00,0,306,306
2025-02-16 00:05:00,0,337,337
2025-02-16 00:10:00,0,302,302
2025-02-16 00:15:00,0,377,377
2025-02-16 00:20:00,0,450,450
2025-02-16 00:25:00,0,348,348
2025-02-16 00:30:00,0,336,336
2025-02-16 00:35:00,0,216,216
2025-02-16 00:40:00,0,216,216
2025-02-16 00:45:00,0,462,462
2025-02-16 00:50:00,0,445,445
2025-02-16 00:55:00,0,235,235
2025-02-16 01:00:00,0,252,252
2025-02-16 01:05:00,0,238,238
2025-02-16 01:10:00,0,230,230
2025-02-16 01:15:00,0,418,418
2025-02-16 01:20:00,0,422,422
2025-02-16 01:25:00,0,230,230
2025-02-16 01:30:00,0,243,243
2025-02-16 01:35:00,0,210,210
2025-02-16 01:40:00,0,310,310
2025-02-16 01:45:00,0,727,727
2025-02-16 01:50:00,0,356,356
2025-02-16 01:55:00,0,180,180
2025-02-16 02:00:00,0,186,186
2025-02-16 02:05:00,0,190,190
2025-02-16 02:10:00,0,160,160
2025-02-16 02:15:00,0,349,349
2025-02-16 02:20:00,0,163,163
2025-02-16 02:25:00,0,166,166
2025-02-16 02:30:00,0,168,168
2025-02-16 02:35:00,0,171,171
2025-02-16 02:40:00,0,365,365
2025-02-16 02:45:00,0,347,347
2025-02-16 02:50:00,0,174,174
2025-02-16 02:55:00,0,164,164
2025-02-16 03:00:00,0,187,187
2025-02-16 03:05:00,0,666,666
2025-02-16 03:10:00,0,199,199
2025-02-16 03:15:00,0,364,364
2025-02-16 03:20:00,0,162,162
2025-02-16 03:25:00,0,170,170
2025-02-16 03:30:00,0,164,164
2025-02-16 03:35:00,0,627,627
2025-02-16 03:40:00,0,474,474
2025-02-16 03:45:00,0,238,238
2025-02-16 03:50:00,0,162,162
2025-02-16 03:55:00,0,157,157
2025-02-16 04:00:00,0,166,166
2025-02-16 04:05:00,0,674,674
2025-02-16 04:10:00,0,677,677
2025-02-16 04:15:00,0,360,360
2025-02-16 04:20:00,0,246,246
2025-02-16 04:25:00,0,164,164
2025-02-16 04:30:00,0,161,161
2025-02-16 04:35:00,0,207,207
2025-02-16 04:40:00,0,185,185
2025-02-16 04:45:00,0,358,358
2025-02-16 04:50:00,0,164,164
2025-02-16 04:55:00,0,184,184
2025-02-16 05:00:00,0,157,157
2025-02-16 05:05:00,0,139,139
2025-02-16 05:10:00,0,195,195
2025-02-16 05:15:00,0,205,205
2025-02-16 05:20:00,0,362,362
2025-02-16 05:25:00,0,156,156
2025-02-16 05:30:00,0,152,152
2025-02-16 05:35:00,0,135,135
2025-02-16 05:40:00,0,139,139
2025-02-16 05:45:00,0,155,155
2025-02-16 05:50:00,0,148,148
2025-02-16 05:55:00,0,252,252
2025-02-16 06:00:00,101,45,146
2025-02-16 06:05:00,120,217,337
2025-02-16 06:10:00,138,257,395
2025-02-16 06:15:00,167,24,191
2025-02-16 06:20:00,163,22,185
2025-02-16 06:25:00,178,28,206
2025-02-16 06:30:00,188,-49,139
2025-02-16 06:35:00,271,238,509
2025-02-16 06:40:00,297,243,540
2025-02-16 06:45:00,454,131,585
2025-02-16 06:50:00,683,-153,530
2025-02-16 06:55:00,921,-509,412
2025-02-16 07:00:00,893,-694,199
2025-02-16 07:05:00,932,-554,378
2025-02-16 07:10:00,2323,-1937,386
2025-02-16 07:15:00,2530,-2109,421
2025-02-16 07:20:00,2637,-2485,152
2025-02-16 07:25:00,2741,-2339,402
2025-02-16 07:30:00,3711,-3283,428
2025-02-16 07:35:00,2238,-1774,464
2025-02-16 07:40:00,4917,-4675,242
2025-02-16 07:45:00,1395,-977,418
2025-02-16 07:50:00,1195,-853,342
2025-02-16 07:55:00,1534,-1152,382
2025-02-16 08:00:00,1856,-1422,434
2025-02-16 08:05:00,1662,-1356,306
2025-02-16 08:10:00,1542,-1293,249
