Time,PV(W),Grid(W),Load(W)
2025-11-24 00:00:00,0,347,347
2025-11-24 00:05:00,0,348,348
2025-11-24 00:10:00,0,348,348
2025-11-24 00:15:00,0,420,420
2025-11-24 00:20:00,0,316,316
2025-11-24 00:25:00,0,341,341
2025-11-24 00:30:00,0,324,324
2025-11-24 00:35:00,0,317,317
2025-11-24 00:40:00,0,316,316
2025-11-24 00:45:00,0,322,322
2025-11-24 00:50:00,0,275,275
2025-11-24 00:55:00,0,317,317
2025-11-24 01:00:00,0,325,325
2025-11-24 01:05:00,0,341,341
2025-11-24 01:10:00,0,306,306
2025-11-24 01:15:00,0,295,295
2025-11-24 01:20:00,0,279,279
2025-11-24 01:25:00,0,314,314
2025-11-24 01:30:00,0,304,304
2025-11-24 01:35:00,0,291,291
2025-11-24 01:40:00,0,288,288
2025-11-24 01:45:00,0,280,280
2025-11-24 01:50:00,0,250,250
2025-11-24 01:55:00,0,298,298
2025-11-24 02:00:00,0,310,310
2025-11-24 02:05:00,0,289,289
2025-11-24 02:10:00,0,278,278
2025-11-24 02:15:00,0,132,132
2025-11-24 02:20:00,0,150,150
2025-11-24 02:25:00,0,182,182
2025-11-24 02:30:00,0,171,171
2025-11-24 02:35:00,0,168,168
2025-11-24 02:40:00,0,170,170
2025-11-24 02:45:00,0,336,336
2025-11-24 02:50:00,0,348,348
2025-11-24 02:55:00,0,370,370
2025-11-24 03:00:00,0,290,290
2025-11-24 03:05:00,0,170,170
2025-11-24 03:10:00,0,177,177
2025-11-24 03:15:00,0,136,136
2025-11-24 03:20:00,0,166,166
2025-11-24 03:25:00,0,169,169
2025-11-24 03:30:00,0,170,170
2025-11-24 03:35:00,0,170,170
2025-11-24 03:40:00,0,133,133
2025-11-24 03:45:00,0,349,349
2025-11-24 03:50:00,0,386,386
2025-11-24 03:55:00,0,396,396
2025-11-24 04:00:00,0,169,169
2025-11-24 04:05:00,0,171,171
2025-11-24 04:10:00,0,134,134
2025-11-24 04:15:00,0,129,129
2025-11-24 04:20:00,0,168,168
2025-11-24 04:25:00,0,173,173
2025-11-24 04:30:00,0,170,170
2025-11-24 04:35:00,0,168,168
2025-11-24 04:40:00,0,130,130
2025-11-24 04:45:00,0,124,124
2025-11-24 04:50:00,0,371,371
2025-11-24 04:55:00,0,413,413
2025-11-24 05:00:00,0,156,156
2025-11-24 05:05:00,0,160,160
2025-11-24 05:10:00,0,117,117
2025-11-24 05:15:00,125,76,201
2025-11-24 05:20:00,158,40,198
2025-11-24 05:25:00,181,0,181
2025-11-24 05:30:00,298,-122,176
2025-11-24 05:35:00,389,-246,143
2025-11-24 05:40:00,483,-126,357
2025-11-24 05:45:00,492,-97,395
2025-11-24 05:50:00,548,-148,400
2025-11-24 05:55:00,586,-406,180
2025-11-24 06:00:00,516,-336,180
2025-11-24 06:05:00,407,-268,139
2025-11-24 06:10:00,877,-716,161
2025-11-24 06:15:00,956,-779,177
2025-11-24 06:20:00,1399,-1219,180
2025-11-24 06:25:00,1112,-967,145
2025-11-24 06:30:00,837,-666,171
2025-11-24 06:35:00,1192,-1060,132
2025-11-24 06:40:00,1877,-1869,8
2025-11-24 06:45:00,2291,-1934,357
2025-11-24 06:50:00,2186,-1969,217
2025-11-24 06:55:00,861,-419,442
2025-11-24 07:00:00,825,-642,183
2025-11-24 07:05:00,844,-702,142
2025-11-24 07:10:00,954,-806,148
2025-11-24 07:15:00,996,-816,180
2025-11-24 07:20:00,4232,-3335,897
2025-11-24 07:25:00,3284,-3029,255
2025-11-24 07:30:00,1633,-1436,197
2025-11-24 07:35:00,1337,-1144,193
2025-11-24 07:40:00,1422,-1126,296
2025-11-24 07:45:00,1607,-1297,310
2025-11-24 07:50:00,3770,-1910,1860
2025-11-24 07:55:00,3002,-2921,81
2025-11-24 08:00:00,1509,-1222,287
2025-11-24 08:05:00,4938,-4570,368
2025-11-24 08:10:00,4933,-4455,478
2025-11-24 08:15:00,4832,-4304,528
2025-11-24 08:20:00,4898,-2460,2438
2025-11-24 08:25:00,4872,-2512,2360
2025-11-24 08:30:00,2427,-1836,591
2025-11-24 08:35:00,4728,-2349,2379
2025-11-24 08:40:00,4867,-2409,2458
2025-11-24 08:45:00,4858,-2390,2468
2025-11-24 08:50:00,4903,-2767,2136
2025-11-24 08:55:00,4854,-2561,2293
2025-11-24 09:00:00,4852,-2683,2169
2025-11-24 09:05:00,3965,-2440,1525
2025-11-24 09:10:00,2244,-583,1661
2025-11-24 09:15:00,4770,-1485,3285
2025-11-24 09:20:00,4039,-1281,2758
2025-11-24 09:25:00,3841,-960,2881
2025-11-24 09:30:00,4021,-3010,1011
2025-11-24 09:35:00,4782,-2811,1971
2025-11-24 09:40:00,4946,-2872,2074
2025-11-24 09:45:00,4971,-2911,2060
2025-11-24 09:50:00,4785,-2803,1982
2025-11-24 09:55:00,4763,-2740,2023
2025-11-24 10:00:00,4747,-2679,2068
2025-11-24 10:05:00,4738,-2654,2084
2025-11-24 10:10:00,4728,-2672,2056
2025-11-24 10:15:00,4743,-2623,2120
2025-11-24 10:20:00,4944,-2830,2114
2025-11-24 10:25:00,4926,-2839,2087
2025-11-24 10:30:00,4781,-4529,252
2025-11-24 10:35:00,4701,-4417,284
2025-11-24 10:40:00,4909,-4678,231
2025-11-24 10:45:00,4721,-4464,257
2025-11-24 10:50:00,4658,-4405,253
2025-11-24 10:55:00,4674,-4483,191
2025-11-24 11:00:00,4746,-4536,210
2025-11-24 11:05:00,4764,-4519,245
2025-11-24 11:10:00,4669,-4444,225
2025-11-24 11:15:00,4689,-4460,229
2025-11-24 11:20:00,4747,-4465,282
2025-11-24 11:25:00,4570,-4383,187
2025-11-24 11:30:00,4694,-4520,174
2025-11-24 11:35:00,4691,-4478,213
2025-11-24 11:40:00,4697,-4462,235
2025-11-24 11:45:00,4676,-4416,260
2025-11-24 11:50:00,4708,-4428,280
2025-11-24 11:55:00,4657,-4362,295
2025-11-24 12:00:00,4614,-4334,280
2025-11-24 12:05:00,4548,-4288,260
2025-11-24 12:10:00,4550,-4236,314
2025-11-24 12:15:00,4601,-4332,269
2025-11-24 12:20:00,4544,-4273,271
2025-11-24 12:25:00,4457,-4189,268
2025-11-24 12:30:00,4501,-4254,247
2025-11-24 12:35:00,4601,-4318,283
2025-11-24 12:40:00,4652,-4405,247
2025-11-24 12:45:00,4659,-4439,220
2025-11-24 12:50:00,1577,-1348,229
2025-11-24 12:55:00,2066,-1913,153
2025-11-24 13:00:00,1940,-1776,164
2025-11-24 13:05:00,2345,-1646,699
2025-11-24 13:10:00,4596,-4338,258
2025-11-24 13:15:00,4244,-3999,245
2025-11-24 13:20:00,4099,-3862,237
2025-11-24 13:25:00,4108,-3886,222
2025-11-24 13:30:00,3989,-3796,193
2025-11-24 13:35:00,4063,-3822,241
2025-11-24 13:40:00,4258,-4011,247
2025-11-24 13:45:00,4179,-3933,246
2025-11-24 13:50:00,3773,-3526,247
2025-11-24 13:55:00,3837,-3672,165
2025-11-24 14:00:00,1627,-1468,159
2025-11-24 14:05:00,1550,-1313,237
2025-11-24 14:10:00,4742,-4518,224
2025-11-24 14:15:00,4419,-4182,237
2025-11-24 14:20:00,3886,-3698,188
2025-11-24 14:25:00,3672,-3477,195
2025-11-24 14:30:00,3213,-2985,228
2025-11-24 14:35:00,543,-337,206
2025-11-24 14:40:00,236,0,236
2025-11-24 14:45:00,114,104,218
2025-11-24 14:50:00,48,118,166
2025-11-24 14:55:00,0,126,126
2025-11-24 15:00:00,0,180,180
2025-11-24 15:05:00,0,183,183
2025-11-24 15:10:00,0,180,180
2025-11-24 15:15:00,0,150,150
2025-11-24 15:20:00,0,137,137
2025-11-24 15:25:00,0,169,169
2025-11-24 15:30:00,0,197,197
2025-11-24 15:35:00,0,175,175
2025-11-24 15:40:00,139,48,187
2025-11-24 15:45:00,271,-103,168
2025-11-24 15:50:00,388,-242,146
2025-11-24 15:55:00,423,-212,211
2025-11-24 16:00:00,438,-248,190
2025-11-24 16:05:00,790,-592,198
2025-11-24 16:10:00,564,-340,224
2025-11-24 16:15:00,892,-740,152
2025-11-24 16:20:00,1085,-879,206
2025-11-24 16:25:00,850,-654,196
2025-11-24 16:30:00,771,-556,215
2025-11-24 16:35:00,1108,-907,201
2025-11-24 16:40:00,877,-737,140
2025-11-24 16:45:00,678,-521,157
2025-11-24 16:50:00,361,-168,193
2025-11-24 16:55:00,361,-166,195
2025-11-24 17:00:00,288,-91,197
2025-11-24 17:05:00,251,-54,197
2025-11-24 17:10:00,232,-83,149
2025-11-24 17:15:00,217,-68,149
2025-11-24 17:20:00,203,0,203
2025-11-24 17:25:00,192,22,214
2025-11-24 17:30:00,177,33,210
2025-11-24 17:35:00,167,-20,147
2025-11-24 17:40:00,151,0,151
2025-11-24 17:45:00,140,53,193
2025-11-24 17:50:00,126,76,202
2025-11-24 17:55:00,112,79,191
2025-11-24 18:00:00,95,92,187
2025-11-24 18:05:00,77,87,164
2025-11-24 18:10:00,59,105,164
2025-11-24 18:15:00,0,195,195
2025-11-24 18:20:00,0,203,203
2025-11-24 18:25:00,0,172,172
2025-11-24 18:30:00,0,171,171
2025-11-24 18:35:00,0,133,133
2025-11-24 18:40:00,0,134,134
2025-11-24 18:45:00,0,170,170
2025-11-24 18:50:00,0,176,176
2025-11-24 18:55:00,0,179,179
2025-11-24 19:00:00,0,185,185
2025-11-24 19:05:00,0,161,161
2025-11-24 19:10:00,0,170,170
2025-11-24 19:15:00,0,208,208
2025-11-24 19:20:00,0,208,208
2025-11-24 19:25:00,0,221,221
2025-11-24 19:30:00,0,215,215
2025-11-24 19:35:00,0,170,170
2025-11-24 19:40:00,0,207,207
2025-11-24 19:45:00,0,205,205
2025-11-24 19:50:00,0,234,234
2025-11-24 19:55:00,0,249,249
2025-11-24 20:00:00,0,254,254
2025-11-24 20:05:00,0,336,336
2025-11-24 20:10:00,0,403,403
2025-11-24 20:15:00,0,374,374
2025-11-24 20:20:00,0,375,375
2025-11-24 20:25:00,0,474,474
2025-11-24 20:30:00,0,360,360
2025-11-24 20:35:00,0,449,449
2025-11-24 20:40:00,0,490,490
2025-11-24 20:45:00,0,460,460
2025-11-24 20:50:00,0,485,485
2025-11-24 20:55:00,0,373,373
2025-11-24 21:00:00,0,409,409
2025-11-24 21:05:00,0,546,546
2025-11-24 21:10:00,0,545,545
2025-11-24 21:15:00,0,2355,2355
2025-11-24 21:20:00,0,535,535
2025-11-24 21:25:00,0,315,315
2025-11-24 21:30:00,0,277,277
2025-11-24 21:35:00,0,521,521
2025-11-24 21:40:00,0,605,605
2025-11-24 21:45:00,0,598,598
2025-11-24 21:50:00,0,506,506
2025-11-24 21:55:00,0,442,442
2025-11-24 22:00:00,0,465,465
2025-11-24 22:05:00,0,459,459
2025-11-24 22:10:00,0,520,520
2025-11-24 22:15:00,0,515,515
2025-11-24 22:20:00,0,441,441
2025-11-24 22:25:00,0,473,473
2025-11-24 22:30:00,0,435,435
2025-11-24 22:35:00,0,440,440
2025-11-24 22:40:00,0,440,440
2025-11-24 22:45:00,0,551,551
2025-11-24 22:50:00,0,508,508
2025-11-24 22:55:00,0,469,469
2025-11-24 23:00:00,0,654,654
2025-11-24 23:05:00,0,652,652
2025-11-24 23:10:00,0,655,655
2025-11-24 23:15:00,0,655,655
2025-11-24 23:20:00,0,472,472
2025-11-24 23:25:00,0,404,404
2025-11-24 23:30:00,0,478,478
2025-11-24 23:35:00,0,500,500
2025-11-24 23:40:00,0,498,498
2025-11-24 23:45:00,0,502,502
2025-11-24 23:50:00,0,488,488
2025-11-24 23:55:00,0,466,466
