Time,PV(W),Grid(W),Load(W)
2025-10-25 00:00:00,0,219,219
2025-10-25 00:05:00,0,333,333
2025-10-25 00:10:00,0,684,684
2025-10-25 00:15:00,0,346,346
2025-10-25 00:20:00,0,390,390
2025-10-25 00:25:00,0,378,378
2025-10-25 00:30:00,0,180,180
2025-10-25 00:35:00,0,181,181
2025-10-25 00:40:00,0,177,177
2025-10-25 00:45:00,0,185,185
2025-10-25 00:50:00,0,322,322
2025-10-25 00:55:00,0,379,379
2025-10-25 01:00:00,0,175,175
2025-10-25 01:05:00,0,176,176
2025-10-25 01:10:00,0,176,176
2025-10-25 01:15:00,0,170,170
2025-10-25 01:20:00,0,200,200
2025-10-25 01:25:00,0,155,155
2025-10-25 01:30:00,0,287,287
2025-10-25 01:35:00,0,647,647
2025-10-25 01:40:00,0,376,376
2025-10-25 01:45:00,0,384,384
2025-10-25 01:50:00,0,195,195
2025-10-25 01:55:00,0,147,147
2025-10-25 02:00:00,0,180,180
2025-10-25 02:05:00,0,188,188
2025-10-25 02:10:00,0,190,190
2025-10-25 02:15:00,0,189,189
2025-10-25 02:20:00,0,178,178
2025-10-25 02:25:00,0,482,482
2025-10-25 02:30:00,0,356,356
2025-10-25 02:35:00,0,200,200
2025-10-25 02:40:00,0,186,186
2025-10-25 02:45:00,0,188,188
2025-10-25 02:50:00,0,192,192
2025-10-25 02:55:00,0,153,153
2025-10-25 03:00:00,0,188,188
2025-10-25 03:05:00,0,192,192
2025-10-25 03:10:00,0,652,652
2025-10-25 03:15:00,0,404,404
2025-10-25 03:20:00,0,161,161
2025-10-25 03:25:00,0,172,172
2025-10-25 03:30:00,0,174,174
2025-10-25 03:35:00,0,169,169
2025-10-25 03:40:00,0,170,170
2025-10-25 03:45:00,0,174,174
2025-10-25 03:50:00,0,132,132
2025-10-25 03:55:00,0,188,188
2025-10-25 04:00:00,0,397,397
2025-10-25 04:05:00,0,196,196
2025-10-25 04:10:00,0,190,190
2025-10-25 04:15:00,0,154,154
2025-10-25 04:20:00,0,155,155
2025-10-25 04:25:00,0,189,189
2025-10-25 04:30:00,0,190,190
2025-10-25 04:35:00,0,190,190
2025-10-25 04:40:00,0,198,198
2025-10-25 04:45:00,0,160,160
2025-10-25 04:50:00,0,188,188
2025-10-25 04:55:00,0,168,168
2025-10-25 05:00:00,0,162,162
2025-10-25 05:05:00,0,163,163
2025-10-25 05:10:00,0,141,141
2025-10-25 05:15:00,0,142,142
2025-10-25 05:20:00,0,168,168
2025-10-25 05:25:00,0,173,173
2025-10-25 05:30:00,140,45,185
2025-10-25 05:35:00,197,218,415
2025-10-25 05:40:00,255,-90,165
2025-10-25 05:45:00,222,-34,188
2025-10-25 05:50:00,330,-140,190
2025-10-25 05:55:00,531,-342,189
2025-10-25 06:00:00,576,-388,188
2025-10-25 06:05:00,590,-432,158
2025-10-25 06:10:00,462,-305,157
2025-10-25 06:15:00,527,-357,170
2025-10-25 06:20:00,495,-321,174
2025-10-25 06:25:00,827,-447,380
2025-10-25 06:30:00,704,-523,181
2025-10-25 06:35:00,625,-487,138
2025-10-25 06:40:00,568,-411,157
2025-10-25 06:45:00,584,-413,171
2025-10-25 06:50:00,740,-564,176
2025-10-25 06:55:00,704,-528,176
2025-10-25 07:00:00,906,-696,210
2025-10-25 07:05:00,1046,-402,644
2025-10-25 07:10:00,4059,-3584,475
2025-10-25 07:15:00,3788,-3548,240
2025-10-25 07:20:00,3838,-3603,235
2025-10-25 07:25:00,3920,-3691,229
2025-10-25 07:30:00,4001,-3802,199
2025-10-25 07:35:00,4104,-3905,199
2025-10-25 07:40:00,4148,-3922,226
2025-10-25 07:45:00,4238,-3998,240
2025-10-25 07:50:00,4290,-4058,232
2025-10-25 07:55:00,4375,-3909,466
2025-10-25 08:00:00,4396,-3956,440
2025-10-25 08:05:00,4529,-4053,476
2025-10-25 08:10:00,4534,-4027,507
2025-10-25 08:15:00,4382,-4566,-184
2025-10-25 08:20:00,4760,-2536,2224
2025-10-25 08:25:00,1496,425,1921
2025-10-25 08:30:00,2284,-157,2127
2025-10-25 08:35:00,2345,-42,2303
2025-10-25 08:40:00,1774,400,2174
2025-10-25 08:45:00,1529,621,2150
2025-10-25 08:50:00,1920,228,2148
2025-10-25 08:55:00,1781,256,2037
2025-10-25 09:00:00,2353,-270,2083
2025-10-25 09:05:00,4979,-2723,2256
2025-10-25 09:10:00,4988,-2912,2076
2025-10-25 09:15:00,3431,-1227,2204
2025-10-25 09:20:00,4964,-2847,2117
2025-10-25 09:25:00,4988,-2755,2233
2025-10-25 09:30:00,3322,-1170,2152
2025-10-25 09:35:00,4980,-2647,2333
2025-10-25 09:40:00,1836,460,2296
2025-10-25 09:45:00,4978,-2241,2737
2025-10-25 09:50:00,1891,752,2643
2025-10-25 09:55:00,2072,461,2533
2025-10-25 10:00:00,3451,-682,2769
2025-10-25 10:05:00,2379,134,2513
2025-10-25 10:10:00,2427,82,2509
2025-10-25 10:15:00,2382,119,2501
2025-10-25 10:20:00,1996,291,2287
2025-10-25 10:25:00,2005,305,2310
2025-10-25 10:30:00,2273,41,2314
2025-10-25 10:35:00,4432,-1990,2442
2025-10-25 10:40:00,3785,-1424,2361
2025-10-25 10:45:00,1872,258,2130
2025-10-25 10:50:00,1794,-486,1308
2025-10-25 10:55:00,4958,-2186,2772
2025-10-25 11:00:00,4904,-4551,353
2025-10-25 11:05:00,4808,-4293,515
2025-10-25 11:10:00,3952,-1470,2482
2025-10-25 11:15:00,2041,215,2256
2025-10-25 11:20:00,3784,-1611,2173
2025-10-25 11:25:00,2699,-616,2083
2025-10-25 11:30:00,4986,-2720,2266
2025-10-25 11:35:00,4972,-2678,2294
2025-10-25 11:40:00,5011,-2079,2932
2025-10-25 11:45:00,4979,-2232,2747
2025-10-25 11:50:00,5000,-404,4596
2025-10-25 11:55:00,4845,-290,4555
2025-10-25 12:00:00,4097,745,4842
2025-10-25 12:05:00,3708,-1339,2369
2025-10-25 12:10:00,3466,-922,2544
2025-10-25 12:15:00,4928,-2157,2771
2025-10-25 12:20:00,4967,-2310,2657
2025-10-25 12:25:00,4952,-4186,766
2025-10-25 12:30:00,2323,-1531,792
2025-10-25 12:35:00,4920,-4132,788
2025-10-25 12:40:00,4924,-4137,787
2025-10-25 12:45:00,2183,-1381,802
2025-10-25 12:50:00,3072,-2205,867
2025-10-25 12:55:00,4934,-4218,716
2025-10-25 13:00:00,4841,-4120,721
2025-10-25 13:05:00,3510,-2886,624
2025-10-25 13:10:00,4819,-3996,823
2025-10-25 13:15:00,4109,-3402,707
2025-10-25 13:20:00,4039,-3309,730
2025-10-25 13:25:00,2280,-1717,563
2025-10-25 13:30:00,3699,-3023,676
2025-10-25 13:35:00,3604,-2829,775
2025-10-25 13:40:00,3528,-2791,737
2025-10-25 13:45:00,3370,-2776,594
2025-10-25 13:50:00,3275,-2227,1048
2025-10-25 13:55:00,3533,-2457,1076
2025-10-25 14:00:00,1955,1259,3214
2025-10-25 14:05:00,1332,-260,1072
2025-10-25 14:10:00,3183,-2222,961
2025-10-25 14:15:00,1426,-399,1027
2025-10-25 14:20:00,1120,-161,959
2025-10-25 14:25:00,2408,-1576,832
2025-10-25 14:30:00,1117,-68,1049
