Time,PV(W),Grid(W),Load(W)
2025-03-05 00:00:00,0,188,188
2025-03-05 00:05:00,0,177,177
2025-03-05 00:10:00,0,219,219
2025-03-05 00:15:00,0,343,343
2025-03-05 00:20:00,0,421,421
2025-03-05 00:25:00,0,404,404
2025-03-05 00:30:00,0,422,422
2025-03-05 00:35:00,0,379,379
2025-03-05 00:40:00,0,328,328
2025-03-05 00:45:00,0,188,188
2025-03-05 00:50:00,0,195,195
2025-03-05 00:55:00,0,196,196
2025-03-05 01:00:00,0,304,304
2025-03-05 01:05:00,0,632,632
2025-03-05 01:10:00,0,386,386
2025-03-05 01:15:00,0,457,457
2025-03-05 01:20:00,0,401,401
2025-03-05 01:25:00,0,198,198
2025-03-05 01:30:00,0,203,203
2025-03-05 01:35:00,0,184,184
2025-03-05 01:40:00,0,191,191
2025-03-05 01:45:00,0,194,194
2025-03-05 01:50:00,0,302,302
2025-03-05 01:55:00,0,436,436
2025-03-05 02:00:00,0,381,381
2025-03-05 02:05:00,0,407,407
2025-03-05 02:10:00,0,448,448
2025-03-05 02:15:00,0,250,250
2025-03-05 02:20:00,0,194,194
2025-03-05 02:25:00,0,161,161
2025-03-05 02:30:00,0,192,192
2025-03-05 02:35:00,0,218,218
2025-03-05 02:40:00,0,300,300
2025-03-05 02:45:00,0,431,431
2025-03-05 02:50:00,0,391,391
2025-03-05 02:55:00,0,384,384
2025-03-05 03:00:00,0,194,194
2025-03-05 03:05:00,0,196,196
2025-03-05 03:10:00,0,198,198
2025-03-05 03:15:00,0,201,201
2025-03-05 03:20:00,0,163,163
2025-03-05 03:25:00,0,197,197
2025-03-05 03:30:00,0,232,232
2025-03-05 03:35:00,0,404,404
2025-03-05 03:40:00,0,419,419
2025-03-05 03:45:00,0,396,396
2025-03-05 03:50:00,0,190,190
2025-03-05 03:55:00,0,197,197
2025-03-05 04:00:00,0,199,199
2025-03-05 04:05:00,0,199,199
2025-03-05 04:10:00,0,204,204
2025-03-05 04:15:00,0,168,168
2025-03-05 04:20:00,0,363,363
2025-03-05 04:25:00,0,408,408
2025-03-05 04:30:00,0,415,415
2025-03-05 04:35:00,0,199,199
2025-03-05 04:40:00,0,378,378
2025-03-05 04:45:00,0,162,162
2025-03-05 04:50:00,0,195,195
2025-03-05 04:55:00,0,197,197
2025-03-05 05:00:00,0,195,195
2025-03-05 05:05:00,0,196,196
2025-03-05 05:10:00,0,169,169
2025-03-05 05:15:00,0,394,394
2025-03-05 05:20:00,0,409,409
2025-03-05 05:25:00,0,405,405
2025-03-05 05:30:00,0,194,194
2025-03-05 05:35:00,0,167,167
2025-03-05 05:40:00,0,229,229
2025-03-05 05:45:00,0,188,188
2025-03-05 05:50:00,0,187,187
2025-03-05 05:55:00,0,190,190
2025-03-05 06:00:00,0,160,160
2025-03-05 06:05:00,0,190,190
2025-03-05 06:10:00,0,409,409
2025-03-05 06:15:00,0,418,418
2025-03-05 06:20:00,0,424,424
2025-03-05 06:25:00,0,213,213
2025-03-05 06:30:00,120,108,228
2025-03-05 06:35:00,150,11,161
2025-03-05 06:40:00,180,22,202
2025-03-05 06:45:00,182,16,198
2025-03-05 06:50:00,182,50,232
2025-03-05 06:55:00,256,-23,233
2025-03-05 07:00:00,334,-160,174
2025-03-05 07:05:00,318,-97,221
2025-03-05 07:10:00,235,-32,203
2025-03-05 07:15:00,201,0,201
2025-03-05 07:20:00,413,-216,197
2025-03-05 07:25:00,438,-275,163
2025-03-05 07:30:00,632,-462,170
2025-03-05 07:35:00,662,-249,413
2025-03-05 07:40:00,713,1434,2147
2025-03-05 07:45:00,963,985,1948
2025-03-05 07:50:00,1048,923,1971
2025-03-05 07:55:00,988,927,1915
2025-03-05 08:00:00,775,1167,1942
2025-03-05 08:05:00,760,1212,1972
2025-03-05 08:10:00,926,1024,1950
2025-03-05 08:15:00,1088,884,1972
2025-03-05 08:20:00,1066,848,1914
2025-03-05 08:25:00,1479,475,1954
2025-03-05 08:30:00,1352,752,2104
2025-03-05 08:35:00,1280,938,2218
2025-03-05 08:40:00,1024,1120,2144
2025-03-05 08:45:00,3043,-676,2367
2025-03-05 08:50:00,2215,-35,2180
2025-03-05 08:55:00,3092,-2384,708
2025-03-05 09:00:00,3714,-751,2963
2025-03-05 09:05:00,2425,-1718,707
2025-03-05 09:10:00,1538,983,2521
2025-03-05 09:15:00,1823,2692,4515
2025-03-05 09:20:00,1629,584,2213
2025-03-05 09:25:00,1151,-716,435
2025-03-05 09:30:00,1933,-769,1164
2025-03-05 09:35:00,3807,-2964,843
2025-03-05 09:40:00,2706,-1822,884
2025-03-05 09:45:00,3488,-2535,953
2025-03-05 09:50:00,2112,-1268,844
2025-03-05 09:55:00,1752,-997,755
2025-03-05 10:00:00,2637,-2068,569
2025-03-05 10:05:00,2015,-1198,817
2025-03-05 10:10:00,1614,-1016,598
2025-03-05 10:15:00,1973,-1420,553
2025-03-05 10:20:00,1918,-1107,811
2025-03-05 10:25:00,1806,-1354,452
2025-03-05 10:30:00,2582,-1798,784
2025-03-05 10:35:00,3446,-2835,611
2025-03-05 10:40:00,2644,-2044,600
2025-03-05 10:45:00,2606,-1820,786
2025-03-05 10:50:00,2986,-78,2908
2025-03-05 10:55:00,4915,-1748,3167
2025-03-05 11:00:00,4877,-4075,802
